Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
Arizona Diamondbacks,2059424,25425,30.3,27.4,103,104,0,1,10,"$62,629,166",2:56,Melvin
Atlanta Braves,2521167,31126,28.1,28.6,101,100,2,2,13,"$86,457,302",2:46,Cox
Baltimore Orioles,2624740,32404,31.5,28.3,99,99,0,4,9,"$73,914,333",2:53,Mazzilli and Perlozzo
Boston Red Sox,2847888,35159,31.3,33.6,104,104,1,5,17,"$123,505,125",3:01,Francona
Chicago Cubs,3099992,38272,29.7,28.2,104,104,1,2,13,"$87,032,933",2:45,Baker
Chicago White Sox,2342833,28924,29.3,29.3,103,103,1,4,13,"$75,178,000",2:49,Guillen
Cincinnati Reds,1943067,23696,28.6,28.9,100,101,1,1,8,"$61,892,583",2:53,Miley and Narron
Cleveland Indians,2013763,24861,27.5,29.2,96,96,0,1,14,"$41,502,500",2:51,Wedge
Colorado Rockies,1914389,23634,27.2,27.3,112,113,0,1,8,"$47,839,000",2:48,Hurdle
Detroit Tigers,2024431,24993,28.5,28.0,97,97,1,1,15,"$69,092,000",2:44,Trammell
Florida Marlins,1852608,22872,29.7,29.5,94,94,0,4,16,"$60,408,834",2:49,McKeon
Houston Astros,2804760,34627,30.3,30.3,101,100,2,4,10,"$76,779,000",2:43,Garner
Kansas City Royals,1371181,16928,28.1,25.7,99,101,0,1,6,"$36,881,000",2:48,"Pena, Schaefer and Bell"
Los Angeles Angels of Anaheim,3404686,42033,29.8,28.5,98,97,1,3,12,"$94,867,822",2:50,Scioscia
Los Angeles Dodgers,3603646,44489,28.7,28.5,98,97,0,2,14,"$83,039,000",2:50,Tracy
Milwaukee Brewers,2211023,27297,28.4,28.0,100,101,0,1,14,"$39,934,833",2:53,Yost
Minnesota Twins,2034243,25114,27.6,27.9,102,102,0,2,13,"$56,186,000",2:43,Gardenhire
New York Mets,2829929,34937,28.8,31.9,97,97,3,3,13,"$101,305,821",2:50,Randolph
New York Yankees,4090696,50502,32.4,34.2,98,97,4,3,23,"$208,306,817",3:02,Torre
Oakland Athletics,2109118,26038,28.6,26.6,100,100,0,1,7,"$55,425,762",2:45,Macha
Philadelphia Phillies,2665304,32905,30.0,29.7,105,104,1,3,16,"$95,522,000",2:51,Manuel
Pittsburgh Pirates,1817245,22435,27.4,28.7,99,99,0,1,13,"$38,133,000",2:46,McClendon and Mackanin
San Diego Padres,2869787,35429,31.1,31.0,91,91,1,1,12,"$63,290,833",2:47,Bochy
Seattle Mariners,2725459,33648,28.7,31.4,95,96,0,1,21,"$87,754,334",2:47,Hargrove
San Francisco Giants,3181023,39272,32.2,30.0,101,101,0,1,11,"$90,199,500",2:46,Alou
St. Louis Cardinals,3538988,43691,30.8,29.7,101,100,1,6,14,"$92,106,833",2:48,La Russa
Tampa Bay Devil Rays,1141669,14095,27.5,27.4,98,100,0,1,6,"$29,679,067",2:48,Piniella
Texas Rangers,2525221,31176,27.9,30.5,106,105,0,4,17,"$55,849,000",2:52,Showalter
Toronto Blue Jays,2014995,24876,28.0,28.2,102,102,1,2,8,"$45,719,500",2:46,Gibbons
Washington Nationals,2731993,33728,29.3,28.9,95,96,0,2,14,"$48,581,500",2:55,Robinson
